place_id,6.9.2020,formatted_address,name
ChIJAzWlHMeAhYAROqo5WgtXvw8,CLOSED_TEMPORARILY,"2266 California St, San Francisco, CA 94115, USA",Bright Horizons
ChIJOyKKtPxKs1IRi8AzKUBkT0M,OPERATIONAL,"111 Cheshire Ln # 900, Hopkins, MN 55305, USA",Bright Horizons
ChIJY0Int5Ays1IReTgV-B7OcaQ,CLOSED_TEMPORARILY,"651 Nicollet Mall #135, Minneapolis, MN 55402, USA",Bright Horizons Minneapolis at Gaviidae
ChIJE_ROX8kvs1IRm6-sMb4dcDY,OPERATIONAL,"8200 Coral Sea St NE, St Paul, MN 55112, USA",Bright Horizons
ChIJVV1xfvTX94cR097Uop9IBSc,OPERATIONAL,"8147 Globe Dr, Woodbury, MN 55125, USA",Bright Horizons
ChIJfdNcQJYys1IR83VL_2xM7dY,CLOSED_TEMPORARILY,"34 S 10th St, Minneapolis, MN 55403, USA",Bright Horizons
ChIJQyLLlZY0s1IR7Pn66iqVI04,OPERATIONAL,"5901 Golden Hills Dr, Golden Valley, MN 55416, USA",Bright Beginnings
ChIJeyHsYoW3wogRO27KwlVur9o,OPERATIONAL,"17200 Commerce Park Blvd, Tampa, FL 33647, USA",Bright Horizons
ChIJYVH5VsPOwogRECqYmivQFO0,CLOSED_TEMPORARILY,"3701 Queen Palm Dr, Tampa, FL 33619, USA",Bright Horizons
ChIJ49YUqcTOwogR9lvD_0oUmFI,OPERATIONAL,"3701 Queen Palm Dr, Tampa, FL 33610, USA",Citi Family Center
ChIJu-ztqJjHwogRXlcWXaQPHmw,CLOSED_TEMPORARILY,"3125 USF Banyan Circle, Tampa, FL 33612, USA",USF Family Center
ChIJTR-bbbvHwogRnYOzCrKCt88,OPERATIONAL,"10950 McKinley Dr, Tampa, FL 33612, USA",Moffitt Child Development Center
ChIJRTUCOlqxQYgRP1DfUeT_qME,OPERATIONAL,"550 Main St, Cincinnati, OH 45202, USA",Bright Horizons
ChIJ1WonbB3L2IcR8fUiyjnvaEM,CLOSED_TEMPORARILY,"1243 Hanley Industrial Ct, Brentwood, MO 63144, USA",Bright Horizons
ChIJzw-cD0a12IcRaXY8GIGU-pQ,OPERATIONAL,"1 Brookings Dr, St. Louis, MO 63130, USA",Washington University in St. Louis
ChIJwdJjqAWINIgRH7FPQfe4Y-o,OPERATIONAL,"1000 Westinghouse Dr, Cranberry Twp, PA 16066, USA",Bright Horizons
ChIJD--xyzDyNIgRw3SkN1ayrTo,OPERATIONAL,"425 N Craig St, Pittsburgh, PA 15213, USA",Bright Horizons
ChIJa02OgVU7TIYRwAlqcIMegPE,OPERATIONAL,"7100 Corporate Dr, Plano, TX 75024, USA",Children's Center at Pizza Hut
ChIJc3tFEQymw4kReawgeOafj0U,OPERATIONAL,"100 Campus Dr, Florham Park, NJ 07932, USA",Bright Horizons Family Solutions
ChIJ0TR58MPnFYgRKz5-FM499ik,OPERATIONAL,"7960 W Jefferson Blvd, Fort Wayne, IN 46804, USA",Bright Horizons
ChIJ0TR58MPnFYgR9x6vyLlFkEU,OPERATIONAL,"7950 W Jefferson Blvd, Fort Wayne, IN 46804, USA",Lutheran Hospital Child Development Center
ChIJS-CVg-gOsYkRn1nniyLJbDA,OPERATIONAL,"8000 Jefferson Davis Hwy, Richmond, VA 23297, USA",Bright Horizons
ChIJ23WLdXVrsYkRQdLIFNVcAi4,OPERATIONAL,"1001 Pump Rd, Richmond, VA 23238, USA",Pump Road KinderCare
ChIJLx957dK_woARrwcQ21-8hEU,OPERATIONAL,"3901 W Oak St, Burbank, CA 91505, USA",Bright Horizons
ChIJOygu8nn2woAR2xIeE6lrKfQ,OPERATIONAL,"3918 Sourdough Rd, Acton, CA 93510, USA",Bright Horizons Preschool
ChIJTaU4CFv1UocRbi9h_lGhCc4,OPERATIONAL,"25 S Rio Grande St, Salt Lake City, UT 84101, USA",Bright Horizons at Recursion
ChIJFavEeQSJUocRlCMntkNOqCk,OPERATIONAL,"Midvale, UT 84047, USA",Overstock Day Care Center
ChIJG_NN6OpfUocRbgk63tD8lN0,OPERATIONAL,"201 Presidents' Cir, Salt Lake City, UT 84112, USA",The University of Utah
ChIJGU1aVkrzUocRaAVCXURkKjw,OPERATIONAL,"2355 Technology Dr, West Valley City, UT 84119, USA",New Horizons Computer Learning Center
ChIJIRKFIq7NjIgRR2dZcytqdqE,OPERATIONAL,"1 Tsys Way, Columbus, GA 31901, USA",Bright Horizons
ChIJX408EYII5IkRBAesTsQcBso,OPERATIONAL,"419 Belmont St, Worcester, MA 01604, USA",Bright Horizons
ChIJzU-E7KeM44kRyeiZBKJZ5Fg,OPERATIONAL,"100 Boston Scientific Way, Marlborough, MA 01752, USA",Bright Horizons At Boston Scientific
ChIJl0K4F4II5IkRAXuJ31TB3qQ,OPERATIONAL,"419 Belmont St, Worcester, MA 01604, USA",University Campus Child Care Center
ChIJ7w80mgFGtokR5xhfOsGTWU4,CLOSED_TEMPORARILY,"3575 Joseph Siewick Dr, Fairfax, VA 22033, USA",Bright Horizons at Inova Fair Oaks
ChIJO1aU6zrJj4ARmdA8FHTFxwU,OPERATIONAL,"800 Barber Ln, Milpitas, CA 95035, USA",Cisco Family Connection
ChIJryyN4O26j4ARpahZEBeYpUQ,OPERATIONAL,"3-110, 3000 El Camino Real, Palo Alto, CA 94306, USA",Bright Horizons at Palo Alto
