Names,Addresses,Websites,6.4.2020,6.5.2020,6.8.2020,6.9.2020,6.10.2020,6.12.2020,6.13.2020,6.15.2020,6.16.2020,6.17.2020,6.18.2020,6.19.2020,6.23.2020,6.24.2020,6.25.2020,6.26.2020,6.29.2020,6.30.2020,7.1.2020,7.2.2020,7.6.2020,7.7.2020,7.8.2020,7.13.2020,7.15.2020,7.17.2020,7.20.2020,7.22.2020,7.24.2020,7.27.2020,8.5.2020,8.7.2020
Bright Horizons at Columbus Circle,"910 9th Avenue,New York, NY 10019",https://www.brighthorizons.com/columbuscircle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Commerce Metro Center,"11400 Commerce Park Dr. , Suite R140,Reston, VA 20191",https://www.brighthorizons.com/commercepark,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Concord Plaza,"3511 Silverside Rd.,Wilmington, DE 19810",https://www.brighthorizons.com/concordplaza,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Cook County/City of Chicago Child Development Center,"40 North Dearborn,Chicago, IL 60602",https://www.brighthorizons.com/cookcounty,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Corporate Woods,"15 Corporate Woods Blvd.,Albany, NY 12211",https://www.brighthorizons.com/corporatewoods,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Courthouse Station,"2000 14th St. N,Arlington, VA 22201",https://www.brighthorizons.com/courthousestation,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Cranbury,"2557 Route 130 South,Cranbury, NJ 08512",https://www.brighthorizons.com/cranbury,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,
Bright Horizons at Crittenton,"871 Oakwood Drive,Rochester, MI 48307",https://www.brighthorizons.com/crittenton,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Crosby,"30 Crosby Drive,Bedford, MA 01730",https://www.brighthorizons.com/crosby,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Crown Colony,"2100 Crown Colony Drive Crown Colony Office Park,Quincy, MA 02169",https://www.brighthorizons.com/crown,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Crystal City,"2451 Crystal Drive, Suite 100,Arlington, VA 22202",https://www.brighthorizons.com/crystalcity,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Cupertino,"10253 North Portal Ave.,Cupertino, CA 95014",https://www.brighthorizons.com/cupertino,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at DUMBO,"52 Water Street,Brooklyn, NY 11201",https://www.brighthorizons.com/waterstreet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Davis Square,"99A Dover Street,Somerville, MA 02144",https://www.brighthorizons.com/davissquare,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Deer Park,"21955 W. Field Parkway,Deer Park, IL 60010",https://www.brighthorizons.com/deer,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Democracy Center,"6901 Rockledge Drive,Bethesda, MD 20817",https://www.brighthorizons.com/democracycenter,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Downtown Phoenix,"150 N. 4th Avenue,Phoenix, AZ 85003",https://www.brighthorizons.com/coppersun,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Dublin,"7035 Dublin Boulevard,Dublin, CA 94568",https://www.brighthorizons.com/dublin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Eagleview,"640 Rice Blvd,Exton, PA 19341",https://www.brighthorizons.com/eagleview/,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
